 name:     NiO                                                    Feff 8.50L
 formula:  NiO
 sites:    Ni1,O1
 refer1:   wyckoff 1,III,88
 refer2:
 schoen:
 notes1:   salt, halite
 POT  SCF  30  4.2000   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=28 Rmt= 1.315 Rnm= 1.375 K  shell
 Pot 1 Z=28 Rmt= 1.320 Rnm= 1.381
 Pot 2 Z= 8 Rmt= 1.014 Rnm= 1.061
 Gam_ch=1.576E+00 H-L exch
 Mu=-1.195E+01 kf=2.169E+00 Vint=-2.164E+01 Rs_int= 1.672
 PATH  Rmax= 5.900,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    8      icalc       2
 -----------------------------------------------------------------------
   3  12.000   4.1684    2.3477  -11.95153 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  28 Ni       absorbing atom
    -0.0000    4.1684   -0.0000  1  28 Ni    
    -0.0000    2.0842   -0.0000  2   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  3.2416E+00  3.2087E-04 -4.8305E+00  9.946E-01  1.5430E+01  1.5956E+00
  0.100  3.2419E+00  1.3088E-01 -5.6382E+00  9.946E-01  1.5459E+01  1.5986E+00
  0.200  3.2427E+00  2.5299E-01 -6.4014E+00  9.947E-01  1.5544E+01  1.6075E+00
  0.300  3.2439E+00  3.5939E-01 -7.1207E+00  9.949E-01  1.5681E+01  1.6223E+00
  0.400  3.2455E+00  4.4621E-01 -7.8001E+00  9.952E-01  1.5862E+01  1.6429E+00
  0.500  3.2475E+00  5.1287E-01 -8.4433E+00  9.956E-01  1.6076E+01  1.6689E+00
  0.600  3.2497E+00  5.6122E-01 -9.0534E+00  9.961E-01  1.6312E+01  1.7001E+00
  0.700  3.2520E+00  5.9448E-01 -9.6323E+00  9.966E-01  1.6553E+01  1.7364E+00
  0.800  3.2542E+00  6.1606E-01 -1.0182E+01  9.973E-01  1.6782E+01  1.7774E+00
  0.900  3.2561E+00  6.2895E-01 -1.0702E+01  9.980E-01  1.6983E+01  1.8229E+00
  1.000  3.2576E+00  6.3555E-01 -1.1193E+01  9.989E-01  1.7138E+01  1.8725E+00
  1.100  3.2584E+00  6.3728E-01 -1.1657E+01  1.000E+00  1.7231E+01  1.9261E+00
  1.200  3.2582E+00  6.3521E-01 -1.2093E+01  1.001E+00  1.7253E+01  1.9834E+00
  1.300  3.2567E+00  6.2993E-01 -1.2502E+01  1.003E+00  1.7194E+01  2.0442E+00
  1.400  3.2537E+00  6.2173E-01 -1.2884E+01  1.005E+00  1.7054E+01  2.1083E+00
  1.500  3.2488E+00  6.1071E-01 -1.3241E+01  1.007E+00  1.6837E+01  2.1755E+00
  1.600  3.2416E+00  5.9687E-01 -1.3572E+01  1.010E+00  1.6550E+01  2.2459E+00
  1.700  3.2318E+00  5.8012E-01 -1.3878E+01  1.013E+00  1.6206E+01  2.3191E+00
  1.800  3.2188E+00  5.6032E-01 -1.4158E+01  1.017E+00  1.5823E+01  2.3953E+00
  1.900  3.2021E+00  5.3731E-01 -1.4411E+01  1.021E+00  1.5417E+01  2.4744E+00
  2.000  3.1813E+00  5.1101E-01 -1.4637E+01  1.026E+00  1.5008E+01  2.5564E+00
  2.200  3.1259E+00  4.4813E-01 -1.4996E+01  1.038E+00  1.4258E+01  2.7291E+00
  2.400  3.0560E+00  3.5781E-01 -1.5212E+01  1.033E+00  1.3723E+01  2.9153E+00
  2.600  2.8786E+00  2.7212E-01 -1.5310E+01  1.059E+00  1.0520E+01  3.1295E+00
  2.800  2.8033E+00  2.4827E-01 -1.5640E+01  1.189E+00  6.8701E+00  3.2997E+00
  3.000  2.7942E+00  2.1800E-01 -1.5909E+01  1.232E+00  6.0063E+00  3.4431E+00
  3.200  2.7569E+00  2.0643E-01 -1.5918E+01  1.254E+00  5.5945E+00  3.5958E+00
  3.400  2.7002E+00  2.4971E-01 -1.5838E+01  1.259E+00  5.4123E+00  3.7546E+00
  3.600  2.6318E+00  3.3795E-01 -1.5862E+01  1.256E+00  5.3549E+00  3.9181E+00
  3.800  2.5533E+00  4.5066E-01 -1.5979E+01  1.244E+00  5.3754E+00  4.0858E+00
  4.000  2.4678E+00  5.7108E-01 -1.6128E+01  1.232E+00  5.4495E+00  4.2572E+00
  4.200  2.3780E+00  6.8682E-01 -1.6284E+01  1.214E+00  5.5629E+00  4.4320E+00
  4.400  2.2846E+00  7.9240E-01 -1.6433E+01  1.198E+00  5.7068E+00  4.6096E+00
  4.600  2.1895E+00  8.8578E-01 -1.6576E+01  1.183E+00  5.8752E+00  4.7897E+00
  4.800  2.0947E+00  9.6248E-01 -1.6706E+01  1.166E+00  6.0640E+00  4.9721E+00
  5.000  1.9999E+00  1.0273E+00 -1.6828E+01  1.151E+00  6.2702E+00  5.1564E+00
  5.200  1.9061E+00  1.0814E+00 -1.6943E+01  1.137E+00  6.4917E+00  5.3424E+00
  5.400  1.8134E+00  1.1252E+00 -1.7049E+01  1.123E+00  6.7267E+00  5.5299E+00
  5.600  1.7213E+00  1.1615E+00 -1.7148E+01  1.109E+00  6.9740E+00  5.7187E+00
  5.800  1.6303E+00  1.1907E+00 -1.7240E+01  1.096E+00  7.2324E+00  5.9086E+00
  6.000  1.5398E+00  1.2132E+00 -1.7326E+01  1.085E+00  7.5011E+00  6.0996E+00
  6.500  1.3161E+00  1.2346E+00 -1.7516E+01  1.059E+00  8.2135E+00  6.5807E+00
  7.000  1.0961E+00  1.2083E+00 -1.7684E+01  1.038E+00  8.9779E+00  7.0660E+00
  7.500  8.8285E-01  1.1480E+00 -1.7838E+01  1.023E+00  9.7884E+00  7.5543E+00
  8.000  6.7964E-01  1.0712E+00 -1.7982E+01  1.010E+00  1.0641E+01  8.0450E+00
  8.500  4.8770E-01  9.8853E-01 -1.8116E+01  9.987E-01  1.1533E+01  8.5374E+00
